BLE_fischart;species_code;german_name;species_name;species_namesc;target_assemblage_code;grouped_species;target_assemblage
ROC;ROC;NA;Pacific rock crab;Cancer productus;CRU;not defined;Crustaceans
STC;STC;NA;Black stone crab;Menippe mercenaria;CRU;not defined;Crustaceans
CRG;CRG;NA;Green crab;Carcinus maenas;CRU;Benthic decapods;Crustaceans
JCX;JCX;NA;Maja spider crabs nei;Maja spp;CRU;not defined;Crustaceans
KCT;KCT;NA;Stone king crab;Lithodes maja;CRU;not defined;Crustaceans
KCZ;KCZ;NA;King crabs nei;Lithodes spp;CRU;not defined;Crustaceans
CRS;CRS;NA;Portunus swimcrabs nei;Portunus spp;CRU;not defined;Crustaceans
HQA;HQA;NA;Champagne crab;Hypothalassia armata;CRU;not defined;Crustaceans
ICC;ICC;NA;Wrinkled swimcrab;Liocarcinus corrugatus;CRU;not defined;Crustaceans
KPG;KPG;NA;Shamefaced crab;Calappa granulata;CRU;not defined;Crustaceans
LQL;LQL;NA;Pelagic red crab;Pleuroncodes planipes;CRU;not defined;Crustaceans
MXT;MXT;NA;Harbour spidercrab;Mithrax armatus;CRU;not defined;Crustaceans
NBZ;NBZ;NA;Nimble spray crab;Percnon gibbesi;CRU;not defined;Crustaceans
DME;DME;NA;Sleepy crab;Dromia personata;CRU;not defined;Crustaceans
EIK;EIK;NA;Warty crab;Eriphia verrucosa;CRU;not defined;Crustaceans
HIQ;HIQ;NA;Striated mole crab;Hippa strigillata;CRU;not defined;Crustaceans
LQA;LQA;NA;Arched swimming crab;Liocarcinus arcuatus;CRU;not defined;Crustaceans
CRQ;CRQ;NA;Queen crab;Chionoecetes opilio;CRU;not defined;Crustaceans
GEY;GEY;NA;Deep-sea crabs, geryons nei;Geryonidae;CRU;not defined;Crustaceans
MQL;MQL;NA;Knobby swimcrab;Macropipus tuberculatus;CRU;not defined;Crustaceans
SWM;SWM;NA;Swimming crabs, etc. nei;Portunidae;CRU;not defined;Crustaceans
UCC;UCC;NA;Swamp ghost crab;Ucides cordatus;CRU;not defined;Crustaceans
CMR;CMR;NA;Mediterranean shore crab;Carcinus aestuarii;CRU;not defined;Crustaceans
PAG;PAG;NA;Softshell red crab;Paralomis granulosa;CRU;not defined;Crustaceans
HFL;HFL;NA;Spoted box crab;Hepatus lineatus;CRU;not defined;Crustaceans
KLM;KLM;NA;Bigfisted swimcrab;Callinectes amnicola;CRU;not defined;Crustaceans
KLP;KLP;NA;Gladiator swimcrab;Callinectes pallidus;CRU;not defined;Crustaceans
LQV;LQV;NA;Smooth swimcrab;Liocarcinus vernalis;CRU;not defined;Crustaceans
OUE;OUE;NA;Rough swimcrab;Portunus asper;CRU;not defined;Crustaceans
KNR;KNR;NA;Red swimcrab;Cronius ruber;CRU;not defined;Crustaceans
UIS;UIS;NA;Tidal spray crab;Plagusia depressa;CRU;not defined;Crustaceans
CZW;CZW;NA;Carcinus crabs nei;Carcinus spp;CRU;not defined;Crustaceans
JAJ;JAJ;NA;Southern spider crab;Jacquinotia edwardsii;CRU;not defined;Crustaceans
KCD;KCD;NA;Red king crab;Paralithodes camtschaticus;CRU;not defined;Crustaceans
CRR;CRR;NA;Red crab;Chaceon quinquedens;CRU;not defined;Crustaceans
KCX;KCX;NA;King crabs, stone crabs nei;Lithodidae;CRU;not defined;Crustaceans
ZYA;ZYA;NA;Common decorator crab;Schizophrys aspera;CRU;not defined;Crustaceans
CRB;CRB;NA;Blue crab;Callinectes sapidus;CRU;not defined;Crustaceans
KCS;KCS;NA;King crabs;Paralithodes spp;CRU;not defined;Crustaceans
KCB;KCB;NA;Toothed rock crab;Cancer bellianus;CRU;not defined;Crustaceans
OUX;OUX;NA;Xantus swimcrab;Portunus xantusii;CRU;not defined;Crustaceans
CAL;CAL;NA;Callinectes swimcrabs nei;Callinectes spp;CRU;not defined;Crustaceans
HFK;HFK;NA;Havana box crab;Hepatus kossmanni;CRU;not defined;Crustaceans
SCD;SCD;NA;Blue swimming crab;Portunus pelagicus;CRU;not defined;Crustaceans
KLE;KLE;NA;Rugose swimcrab;Callinectes exasperatus;CRU;not defined;Crustaceans
QPH;QPH;NA;Henslow?s swimming crab;Polybius henslowii;CRU;not defined;Crustaceans
OVP;OVP;NA;Sand crab;Ovalipes punctatus;CRU;not defined;Crustaceans
KCY;KCY;NA;Brown king crab;Paralithodes brevipes;CRU;not defined;Crustaceans
ERS;ERS;NA;Chinese mitten crab;Eriocheir sinensis;CRU;not defined;Crustaceans
CRC;CRC;NA;Giant swimcrab;Callinectes toxotes;CRU;not defined;Crustaceans
KCV;KCV;NA;Antarctic stone crab;Paralomis spinosissima;CRU;not defined;Crustaceans
REX;REX;NA;Sand swimcrab;Arenaeus mexicanus;CRU;not defined;Crustaceans
KPO;KPO;NA;Ocellated box crab;Calappa ocellata;CRU;not defined;Crustaceans
KPV;KPV;NA;Arched box crab;Calappa convexa;CRU;not defined;Crustaceans
NLE;NLE;NA;Rough king crab;Neolithodes asperrimus;CRU;not defined;Crustaceans
KPS;KPS;NA;Yellow box crab;Calappa sulcata;CRU;not defined;Crustaceans
CBI;CBI;NA;Mangrove hermit crab;Clibanarius panamensis;CRU;not defined;Crustaceans
KCR;KCR;NA;Southern king crab;Lithodes santolla;CRU;not defined;Crustaceans
HSC;HSC;NA;Horseshoe crab;Limulus polyphemus;CRU;not defined;Crustaceans
EHD;EHD;NA;Pelagic swimcrab;Euphylax dovii;CRU;not defined;Crustaceans
KLL;KLL;NA;Masked swimcrab;Callinectes larvatus;CRU;not defined;Crustaceans
PCR;PCR;NA;Tanner crabs nei;Chionoecetes spp;CRU;not defined;Crustaceans
CRZ;CRZ;NA;Dana swimcrab;Callinectes danae;CRU;not defined;Crustaceans
UML;UML;NA;Slender swimcrab;Portumnus latipes;CRU;not defined;Crustaceans
KCI;KCI;NA;Blue king crab;Paralithodes platypus;CRU;not defined;Crustaceans
KPC;KPC;NA;Batwing coral crab;Carpilius corallinus;CRU;not defined;Crustaceans
TEV;TEV;NA;Velvet spidercrab;Stenocionops ovata;CRU;not defined;Crustaceans
CRJ;CRJ;NA;Jonah crab;Cancer borealis;CRU;not defined;Crustaceans
KCF;KCF;NA;Globose king crab;Paralomis formosa;CRU;not defined;Crustaceans
KDA;KDA;NA;Lagoon land crab;Cardisoma armatum;CRU;not defined;Crustaceans
GKM;GKM;NA;Malpelo land crab;Gecarcinus malpilensis;CRU;not defined;Crustaceans
JCG;JCG;NA;Spiny spider crab;Maja goltziana;CRU;not defined;Crustaceans
ERK;ERK;NA;Big-claw purple hermit crab;Petrochirus californiensis;CRU;not defined;Crustaceans
KLG;KLG;NA;Marbled swimcrab;Callinectes marginatus;CRU;not defined;Crustaceans
LQZ;LQZ;NA;Liocarcinus swimcrabs nei;Liocarcinus spp;CRU;not defined;Crustaceans
DIR;DIR;NA;Blue land crab;Cardisoma hirtipes;CRU;not defined;Crustaceans
HKH;HKH;NA;Indonesian golden crab;Chaceon karubar;CRU;not defined;Crustaceans
HBZ;HBZ;NA;Hair crab;Erimacrus isenbeckii;CRU;not defined;Crustaceans
GSQ;GSQ;NA;Lightfoot crab;Grapsus grapsus;CRU;not defined;Crustaceans
MUD;MUD;NA;Indo-Pacific swamp crab;Scylla serrata;CRU;not defined;Crustaceans
RAQ;RAQ;NA;Spanner crab;Ranina ranina;CRU;not defined;Crustaceans
CZM;CZM;NA;Right-handed hermit crabs nei;Paguridae;CRU;not defined;Crustaceans
MXI;MXI;NA;Channel-clinging crab;Mithrax spinosissimus;CRU;not defined;Crustaceans
KPF;KPF;NA;Flame box crab;Calappa flammea;CRU;not defined;Crustaceans
ESE;ESE;NA;Saddletail grouper;Epinephelus daemelii;DEF;not defined;Demersal fish
GPD;GPD;NA;Dusky grouper;Epinephelus marginatus;DEF;not defined;Demersal fish
EEB;EEB;NA;Starry grouper;Epinephelus labriformis;DEF;not defined;Demersal fish
EEF;EEF;NA;Rock grouper;Epinephelus fasciatomaculosus;DEF;not defined;Demersal fish
EEY;EEY;NA;Misty grouper;Epinephelus mystacinus;DEF;not defined;Demersal fish
EFJ;EFJ;NA;Dogtooth grouper;Epinephelus caninus;DEF;not defined;Demersal fish
ELG;ELG;NA;Warsaw grouper;Epinephelus nigritus;DEF;not defined;Demersal fish
EPF;EPF;NA;Olive grouper;Epinephelus cifuentesi;DEF;not defined;Demersal fish
TSR;TSR;NA;Oval grouper;Triso dermopterus;DEF;not defined;Demersal fish
MAR;MAR;NA;Malabar grouper;Epinephelus malabaricus;DEF;not defined;Demersal fish
AYG;AYG;NA;Slender grouper;Anyperodon leucogrammicus;DEF;not defined;Demersal fish
EEA;EEA;NA;Blacktip grouper;Epinephelus fasciatus;DEF;not defined;Demersal fish
GPR;GPR;NA;Red grouper;Epinephelus morio;DEF;not defined;Demersal fish
EPK;EPK;NA;Goldblotch grouper;Epinephelus costae;DEF;not defined;Demersal fish
MAB;MAB;NA;Black grouper;Mycteroperca bonaci;DEF;not defined;Demersal fish
GPB;GPB;NA;Brazilian groupers nei;Mycteroperca spp;DEF;not defined;Demersal fish
GBS;GBS;NA;Broomtail grouper;Mycteroperca xenarcha;DEF;not defined;Demersal fish
EPA;EPA;NA;Hong Kong grouper;Epinephelus akaara;DEF;not defined;Demersal fish
EPY;EPY;NA;Speckled blue grouper;Epinephelus cyanopodus;DEF;not defined;Demersal fish
GPW;GPW;NA;White grouper;Epinephelus aeneus;DEF;not defined;Demersal fish
MKU;MKU;NA;Mottled grouper;Mycteroperca rubra;DEF;not defined;Demersal fish
MKF;MKF;NA;Island grouper;Mycteroperca fusca;DEF;not defined;Demersal fish
EZR;EZR;NA;Oblique-banded grouper;Epinephelus radiatus;DEF;not defined;Demersal fish
EFV;EFV;NA;Snowy grouper;Epinephelus niveatus;DEF;not defined;Demersal fish
MKR;MKR;NA;Leopard grouper;Mycteroperca rosacea;DEF;not defined;Demersal fish
EWU;EWU;NA;White-blotched grouper;Epinephelus multinotatus;DEF;not defined;Demersal fish
GPN;GPN;NA;Nassau grouper;Epinephelus striatus;DEF;not defined;Demersal fish
EFW;EFW;NA;Yellow grouper;Epinephelus awoara;DEF;not defined;Demersal fish
EFY;EFY;NA;Banded grouper;Epinephelus amblycephalus;DEF;not defined;Demersal fish
MTI;MTI;NA;Comb grouper;Mycteroperca acutirostris;DEF;not defined;Demersal fish
EES;EES;NA;Striped grouper;Epinephelus latifasciatus;DEF;not defined;Demersal fish
GPS;GPS;NA;Spotted grouper;Epinephelus analogus;DEF;not defined;Demersal fish
MKT;MKT;NA;Tiger grouper;Mycteroperca tigris;DEF;not defined;Demersal fish
OOW;OOW;NA;Golden grouper;Saloptia powelli;DEF;not defined;Demersal fish
EHG;EHG;NA;Redmouth grouper;Aethaloperca rogaa;DEF;not defined;Demersal fish
MKV;MKV;NA;Yellowfin grouper;Mycteroperca venenosa;DEF;not defined;Demersal fish
EEP;EEP;NA;Comet grouper;Epinephelus morrhua;DEF;not defined;Demersal fish
EEV;EEV;NA;Blue-and-yellow grouper;Epinephelus flavocaeruleus;DEF;not defined;Demersal fish
EML;EML;NA;Blacksaddled coralgrouper;Plectropomus laevis;DEF;not defined;Demersal fish
EEX;EEX;NA;Starspotted grouper;Epinephelus hexagonatus;DEF;not defined;Demersal fish
EEM;EEM;NA;Snubnose grouper;Epinephelus macrospilos;DEF;not defined;Demersal fish
EFH;EFH;NA;Brownspotted grouper;Epinephelus chlorostigma;DEF;not defined;Demersal fish
EWR;EWR;NA;Red-tipped grouper;Epinephelus retouti;DEF;not defined;Demersal fish
EMN;EMN;NA;Marbled coralgrouper;Plectropomus punctatus;DEF;not defined;Demersal fish
EWO;EWO;NA;Eightbar grouper;Epinephelus octofasciatus;DEF;not defined;Demersal fish
EEI;EEI;NA;Haifa grouper;Epinephelus haifensis;DEF;not defined;Demersal fish
GUY;GUY;NA;Gurnards nei;Trigla spp;DEF;not defined;Demersal fish
GUI;GUI;NA;Indo-Pacific gurnards;Chelidonichthys spp;DEF;not defined;Demersal fish
GUM;GUM;NA;Longfin gurnard;Chelidonichthys obscurus;DEF;not defined;Demersal fish
GUN;GUN;NA;Piper gurnard;Trigla lyra;DEF;not defined;Demersal fish
GUR;GUR;NA;Red gurnard;Aspitrigla cuculus;DEF;not defined;Demersal fish
LDV;LDV;NA;Large-scaled gurnard;Lepidotrigla cavillone;DEF;not defined;Demersal fish
CTZ;CTZ;NA;Streaked gurnard;Chelidonichthys lastoviza;DEF;not defined;Demersal fish
GUC;GUC;NA;Cape gurnard;Chelidonichthys capensis;DEF;not defined;Demersal fish
LEP;LEP;NA;Spiny gurnard;Lepidotrigla dieuzeidei;DEF;not defined;Demersal fish
DYL;DYL;NA;Flying gurnard;Dactylopterus volitans;DEF;not defined;Demersal fish
BEG;BEG;NA;Latchet(=Sharpbeak gurnard);Pterygotrigla polyommata;DEF;not defined;Demersal fish
CGY;CGY;NA;Gabon gurnard;Chelidonichthys gabonensis;DEF;not defined;Demersal fish
LBA;LBA;NA;American lobster;Homarus americanus;CRU;not defined;Crustaceans
LBS;LBS;NA;Homarus lobsters nei;Homarus spp;CRU;not defined;Crustaceans
LOX;LOX;NA;Lobsters nei;Reptantia;CRU;not defined;Crustaceans
RIJ;RIJ;NA;Small spanish lobster;Arctides guineensis;CRU;not defined;Crustaceans
SCY;SCY;NA;Lesser slipper lobster;Scyllarus arctus;CRU;not defined;Crustaceans
SLS;SLS;NA;Southern spiny lobster;Palinurus gilchristi;CRU;not defined;Crustaceans
LOR;LOR;NA;Red rock lobster;Jasus edwardsii;CRU;not defined;Crustaceans
CRW;CRW;NA;Palinurid spiny lobsters nei;Palinurus spp;CRU;not defined;Crustaceans
CZJ;CZJ;NA;Blue squat lobster;Cervimunida johni;CRU;not defined;Crustaceans
PSL;PSL;NA;Pink spiny lobster;Palinurus mauritanicus;CRU;not defined;Crustaceans
SLN;SLN;NA;Natal spiny lobster;Palinurus delagoae;CRU;not defined;Crustaceans
ACX;ACX;NA;Deep-water mud lobster;Acanthaxius caespitosa;CRU;not defined;Crustaceans
HCW;HCW;NA;Cape lobster;Homarus capensis;CRU;not defined;Crustaceans
IND;IND;NA;Oriental spear lobster;Linuparus sordidus;CRU;not defined;Crustaceans
LOG;LOG;NA;Green rock lobster;Jasus verreauxi;CRU;not defined;Crustaceans
LOY;LOY;NA;Royal spiny lobster;Panulirus regius;CRU;not defined;Crustaceans
NUV;NUV;NA;Painted spiny lobster;Panulirus versicolor;CRU;not defined;Crustaceans
PQG;PQG;NA;Carrot squat lobster;Pleuroncodes monodon;CRU;not defined;Crustaceans
UNP;UNP;NA;Deep-water squat lobster;Munida propinqua;CRU;not defined;Crustaceans
AXO;AXO;NA;Baron mud lobster;Axiopsis baronai;CRU;not defined;Crustaceans
LOS;LOS;NA;Slipper lobsters nei;Scyllaridae;CRU;not defined;Crustaceans
UNR;UNR;NA;Radiant squat lobster;Munida refulgens;CRU;not defined;Crustaceans
IBE;IBE;NA;Butterfly fan lobster;Ibacus peronii;CRU;not defined;Crustaceans
NUR;NUR;NA;Ornate spiny lobster;Panulirus ornatus;CRU;not defined;Crustaceans
LBC;LBC;NA;Cape rock lobster;Jasus lalandii;CRU;not defined;Crustaceans
YLL;YLL;NA;Mediterranean slipper lobster;Scyllarides latus;CRU;not defined;Crustaceans
URT;URT;NA;Red whip lobster;Puerulus carinatus;CRU;not defined;Crustaceans
UNO;UNO;NA;Stout squat lobster;Munida obesa;CRU;not defined;Crustaceans
LOQ;LOQ;NA;Craylets, squat lobsters;Galatheidae;CRU;not defined;Crustaceans
NEX;NEX;NA;True lobsters,lobsterettes nei;Nephropidae;CRU;not defined;Crustaceans
URQ;URQ;NA;Rugose squat lobster;Munida rugosa;CRU;not defined;Crustaceans
LMS;LMS;NA;Mud spiny lobster;Panulirus polyphagus;CRU;not defined;Crustaceans
VLO;VLO;NA;Spiny lobsters nei;Palinuridae;CRU;not defined;Crustaceans
CDQ;CDQ;NA;Keeled mud lobster;Calocarides quinqueseriatus;CRU;not defined;Crustaceans
INZ;INZ;NA;Spear lobsters nei;Linuparus spp;CRU;not defined;Crustaceans
EOD;EOD;NA;Striped reef lobster;Enoplometopus daumi;CRU;not defined;Crustaceans
MFL;MFL;NA;Northwest lobster;Metanephrops australiensis;CRU;not defined;Crustaceans
MWF;MWF;NA;Metanephrops lobsters nei;Metanephrops spp;CRU;not defined;Crustaceans
NXV;NXV;NA;Small pink lobster;Neaxius vivesi;CRU;not defined;Crustaceans
SLC;SLC;NA;Caribbean spiny lobster;Panulirus argus;CRU;not defined;Crustaceans
URH;URH;NA;Whip lobsters nei;Puerulus spp;CRU;not defined;Crustaceans
NTK;NTK;NA;Atlantic deep-sea lobster;Acanthacaris caeca;CRU;not defined;Crustaceans
LOK;LOK;NA;Scalloped spiny lobster;Panulirus homarus;CRU;not defined;Crustaceans
MFM;MFM;NA;Formosa lobster;Metanephrops formosanus;CRU;not defined;Crustaceans
NEM;NEM;NA;Mozambique lobster;Metanephrops mozambicus;CRU;not defined;Crustaceans
NLG;NLG;NA;Spotted spiny lobster;Panulirus guttatus;CRU;not defined;Crustaceans
YLT;YLT;NA;Galapagos slipper lobster;Scyllarides astori;CRU;not defined;Crustaceans
MEC;MEC;NA;New Zealand lobster;Metanephrops challengeri;CRU;not defined;Crustaceans
NES;NES;NA;Indian Ocean lobsterette;Nephropsis stewarti;CRU;not defined;Crustaceans
MFU;MFU;NA;Arafura lobster;Metanephrops arafurensis;CRU;not defined;Crustaceans
MFJ;MFJ;NA;Japanese lobster;Metanephrops japonicus;CRU;not defined;Crustaceans
SLV;SLV;NA;Tropical spiny lobsters nei;Panulirus spp;CRU;not defined;Crustaceans
JSX;JSX;NA;Rock lobsters nei;Jasus spp;CRU;not defined;Crustaceans
INO;INO;NA;Buffalo blunthorn lobster;Palinustus mossambicus;CRU;not defined;Crustaceans
NUL;NUL;NA;Smoothtail spiny lobster;Panulirus laevicauda;CRU;not defined;Crustaceans
NUU;NUU;NA;Blue spiny lobster;Panulirus inflatus;CRU;not defined;Crustaceans
RSD;RSD;NA;Rough spanish lobster;Arctides antipodarum;CRU;not defined;Crustaceans
TQB;TQB;NA;Southern lobsterette;Thymops birsteini;CRU;not defined;Crustaceans
INC;INC;NA;Unicorn blunthorn lobster;Palinustus unicornutus;CRU;not defined;Crustaceans
INN;INN;NA;Spear lobster;Linuparus somniosus;CRU;not defined;Crustaceans
NUG;NUG;NA;Green spiny lobster;Panulirus gracilis;CRU;not defined;Crustaceans
EVS;EVS;NA;Shield fan lobster;Evibacus princeps;CRU;not defined;Crustaceans
LBT;LBT;NA;Tristan da Cunha rock lobster;Jasus tristani;CRU;not defined;Crustaceans
NHI;NHI;NA;Prickly deep-sea lobster;Acanthacaris tenuimana;CRU;not defined;Crustaceans
UPA;UPA;NA;Banded lobster;Eunephrops manningi;CRU;not defined;Crustaceans
NEA;NEA;NA;Andaman lobster;Metanephrops andamanicus;CRU;not defined;Crustaceans
IBN;IBN;NA;Smooth fan lobster;Ibacus novemdentatus;CRU;not defined;Crustaceans
UDQ;UDQ;NA;Swarming squat lobster;Munida gregaria;CRU;not defined;Crustaceans
UFJ;UFJ;NA;Red lobster;Eunephrops bairdii;CRU;not defined;Crustaceans
NFO;NFO;NA;Pacific lobsterette;Nephropsis occidentalis;CRU;not defined;Crustaceans
NFP;NFP;NA;Ridge-back lobsterette;Nephropsis carpenteri;CRU;not defined;Crustaceans
RRN;RRN;NA;Sculptured mitten lobster;Parribacus antarcticus;CRU;not defined;Crustaceans
GUT;GUT;NA;Indo-Pacific king mackerel;Scomberomorus guttatus;SPF;not defined;Small pelagic fish
MAX;MAX;NA;Mackerels nei;Scombridae;SPF;not defined;Small pelagic fish
MAZ;MAZ;NA;Scomber mackerels nei;Scomber spp;SPF;not defined;Small pelagic fish
BRS;BRS;NA;Serra Spanish mackerel;Scomberomorus brasiliensis;SPF;not defined;Small pelagic fish
ATK;ATK;NA;Okhotsk atka mackerel;Pleurogrammus azonus;SPF;not defined;Small pelagic fish
HMM;HMM;NA;Mediterranean horse mackerel;Trachurus mediterraneus;SPF;not defined;Small pelagic fish
JAA;JAA;NA;Blue jack mackerel;Trachurus picturatus;SPF;not defined;Small pelagic fish
SSM;SSM;NA;Atlantic Spanish mackerel;Scomberomorus maculatus;SPF;not defined;Small pelagic fish
MAA;MAA;NA;Blue mackerel;Scomber australasicus;SPF;not defined;Small pelagic fish
HMC;HMC;NA;Cape horse mackerel;Trachurus capensis;SPF;not defined;Small pelagic fish
HMZ;HMZ;NA;Cunene horse mackerel;Trachurus trecae;SPF;not defined;Small pelagic fish
HMG;HMG;NA;Greenback horse mackerel;Trachurus declivis;SPF;not defined;Small pelagic fish
HUM;HUM;NA;Atka mackerel;Pleurogrammus monopterygius;SPF;not defined;Small pelagic fish
PJM;PJM;NA;Pacific jack mackerel;Trachurus symmetricus;SPF;not defined;Small pelagic fish
COM;COM;NA;Narrow-barred Spanish mackerel;Scomberomorus commerson;SPF;not defined;Small pelagic fish
RAB;RAB;NA;Short mackerel;Rastrelliger brachysoma;SPF;not defined;Small pelagic fish
CJM;CJM;NA;Chilean jack mackerel;Trachurus murphyi;SPF;not defined;Small pelagic fish
RAG;RAG;NA;Indian mackerel;Rastrelliger kanagurta;SPF;not defined;Small pelagic fish
MSD;MSD;NA;Mackerel scad;Decapterus macarellus;SPF;not defined;Small pelagic fish
VMA;VMA;NA;Atlantic chub mackerel;Scomber colias;SPF;not defined;Small pelagic fish
DBM;DBM;NA;Double-lined mackerel;Grammatorcynus bilineatus;SPF;not defined;Small pelagic fish
RAF;RAF;NA;Island mackerel;Rastrelliger faughni;SPF;not defined;Small pelagic fish
MAW;MAW;NA;West African Spanish mackerel;Scomberomorus tritor;SPF;not defined;Small pelagic fish
BBM;BBM;NA;Broad-barred king mackerel;Scomberomorus semifasciatus;SPF;not defined;Small pelagic fish
KGM;KGM;NA;King mackerel;Scomberomorus cavalla;SPF;not defined;Small pelagic fish
QUM;QUM;NA;Queensland school mackerel;Scomberomorus queenslandicus;SPF;not defined;Small pelagic fish
RAX;RAX;NA;Indian mackerels nei;Rastrelliger spp;SPF;not defined;Small pelagic fish
AMK;AMK;NA;Bayer's moray;Enchelycore bayeri;DEF;not defined;Demersal fish
MMH;MMH;NA;Mediterranean moray;Muraena helena;DEF;not defined;Demersal fish
AMA;AMA;NA;Allardice's moray;Anarchias allardicei;DEF;not defined;Demersal fish
AGK;AGK;NA;Brown moray;Gymnothorax unicolor;DEF;non-target demersal fish;Demersal fish
AGD;AGD;NA;Sharktooth moray;Gymnothorax maderensis;DEF;not defined;Demersal fish
AWG;AWG;NA;Dark moray;Gymnothorax afer;DEF;not defined;Demersal fish
AGI;AGI;NA;Polygon moray;Gymnothorax polygonius;DEF;not defined;Demersal fish
AMD;AMD;NA;Chain moray;Echidna catenata;DEF;not defined;Demersal fish
AWB;AWB;NA;Canary moray;Gymnothorax bacalladoi;DEF;not defined;Demersal fish
AWM;AWM;NA;Fangtooth moray;Enchelycore anatina;DEF;not defined;Demersal fish
MUH;MUH;NA;Needle-tooth moray;Uropterygius macrocephalus;DEF;not defined;Demersal fish
AMY;AMY;NA;Barred moray;Echidna polyzona;DEF;not defined;Demersal fish
AMR;AMR;NA;Leopard moray eel;Enchelycore pardalis;DEF;not defined;Demersal fish
MGC;MGC;NA;Thinlip grey mullet;Liza ramada;DEF;not defined;Demersal fish
MLR;MLR;NA;Thicklip grey mullet;Chelon labrosus;DEF;not defined;Demersal fish
MUF;MUF;NA;Flathead grey mullet;Mugil cephalus;DEF;not defined;Demersal fish
SOY;SOY;NA;So-iny (redlip) mullet;Liza haematocheilus;DEF;not defined;Demersal fish
AJW;AJW;NA;Mountain mullet;Agonostomus monticola;DEF;not defined;Demersal fish
MUA;MUA;NA;Bobo mullet;Joturus pichardi;DEF;not defined;Demersal fish
MUM;MUM;NA;Goatfishes, red mullets nei;Mullidae;DEF;not defined;Demersal fish
MGA;MGA;NA;Golden grey mullet;Liza aurata;DEF;not defined;Demersal fish
LZP;LZP;NA;Goldspot mullet;Chelon parsia;DEF;not defined;Demersal fish
MGI;MGI;NA;Parassi mullet;Mugil incilis;DEF;not defined;Demersal fish
MGU;MGU;NA;White mullet;Mugil curema;DEF;not defined;Demersal fish
ODL;ODL;NA;Boxlip mullet;Oedalechilus labeo;DEF;not defined;Demersal fish
LZS;LZS;NA;Leaping mullet;Liza saliens;DEF;not defined;Demersal fish
LZI;LZI;NA;Greenback mullet;Chelon subviridis;DEF;not defined;Demersal fish
MUB;MUB;NA;Lebranche mullet;Mugil liza;DEF;not defined;Demersal fish
LZM;LZM;NA;Largescale mullet;Chelon macrolepis;DEF;not defined;Demersal fish
ODZ;ODZ;NA;Hornlip mullet;Oedalechilus labiosus;DEF;not defined;Demersal fish
MGK;MGK;NA;Longfin mullet;Moolgarda pedaraki;DEF;not defined;Demersal fish
MYZ;MYZ;NA;So-iuy mullet;Mugil soiuy;DEF;not defined;Demersal fish
MAD;MAD;NA;Yellow-eye mullet;Aldrichetta forsteri;DEF;not defined;Demersal fish
LZT;LZT;NA;Tade gray mullet;Chelon planiceps;DEF;not defined;Demersal fish
MUK;MUK;NA;Korean mussel;Mytilus coruscus;MOL;not defined;Molluscs
MUZ;MUZ;NA;New Zealand mussel;Perna canaliculus;MOL;not defined;Molluscs
MSM;MSM;NA;Mediterranean mussel;Mytilus galloprovincialis;MOL;not defined;Molluscs
MYC;MYC;NA;Chilean mussel;Mytilus chilensis;MOL;not defined;Molluscs
CHC;CHC;NA;Choro mussel;Choromytilus chorus;MOL;not defined;Molluscs
MSX;MSX;NA;Sea mussels nei;Mytilidae;MOL;not defined;Molluscs
MYV;MYV;NA;Mytilus mussels nei;Mytilus spp;MOL;not defined;Molluscs
MSC;MSC;NA;Cholga mussel;Aulacomya ater;MOL;not defined;Molluscs
CYM;CYM;NA;Black musselcracker;Cymatoceps nasutus;MOL;not defined;Molluscs
MOD;MOD;NA;Horse mussels nei;Modiolus spp;MOL;not defined;Molluscs
MUJ;MUJ;NA;Californian mussel;Mytilus californianus;MOL;not defined;Molluscs
TVS;TVS;NA;Distorted mussel;Stavelia subdistorta;MOL;not defined;Molluscs
MSL;MSL;NA;South American rock mussel;Perna perna;MOL;not defined;Molluscs
DJB;DJB;NA;Bearded horse mussel;Modiolus barbatus;MOL;not defined;Molluscs
DJD;DJD;NA;Adriatic horse mussel;Modiolus adriaticus;MOL;not defined;Molluscs
ALP;ALP;NA;Alaska plaice;Pleuronectes quadrituberculat.;DEF;not defined;Demersal fish
CPR;CPR;NA;Common prawn;Palaemon serratus;CRU;not defined;Crustaceans
TGS;TGS;NA;Caramote prawn;Penaeus kerathurus;CRU;not defined;Crustaceans
ANJ;ANJ;NA;Purplehead gamba prawn;Aristeus antillensis;CRU;not defined;Crustaceans
FLP;FLP;NA;Fleshy prawn;Penaeus chinensis;CRU;not defined;Crustaceans
PRB;PRB;NA;Brown tiger prawn;Penaeus esculentus;CRU;not defined;Crustaceans
REP;REP;NA;Redtail prawn;Penaeus penicillatus;CRU;not defined;Crustaceans
PPZ;PPZ;NA;Freshwater prawns, shrimps nei;Palaemonidae;CRU;not defined;Crustaceans
PNQ;PNQ;NA;Rockpool prawn;Palaemon elegans;CRU;not defined;Crustaceans
GIT;GIT;NA;Giant tiger prawn;Penaeus monodon;CRU;not defined;Crustaceans
OUI;OUI;NA;Indian bait prawn;Palaemon pacificus;CRU;not defined;Crustaceans
PBA;PBA;NA;Banana prawn;Penaeus merguiensis;CRU;not defined;Crustaceans
LHK;LHK;NA;Tropical river prawn;Palaemon hancocki;CRU;not defined;Crustaceans
PAA;PAA;NA;Baltic prawn;Palaemon adspersus;CRU;not defined;Crustaceans
